,time,instance_events_type,collection_id,scheduling_class,collection_type,priority,alloc_collection_id,instance_index,machine_id,resource_request
0,0,2,94591244395,3,1,200,0,144,1.68846E+11,"{'cpus': 0.020660400390625, 'memory': 0.014434814453125}"
1,2.51731E+12,2,2.60698E+11,2,0,360,2.21495E+11,335,85515092,"{'cpus': 0.00724029541015625, 'memory': 0.0013027191162109375}"
2,1.95684E+11,6,2.76227E+11,2,0,103,0,376,1.69322E+11,"{'cpus': 0.048583984375, 'memory': 0.0041656494140625}"
3,0,2,10507389885,3,0,200,0,1977,1.78295E+11,"{'cpus': 0.0704345703125, 'memory': 0.0416259765625}"
4,1.81063E+12,3,25911621841,2,0,0,0,3907,2.31365E+11,"{'cpus': 0.00244903564453125, 'memory': 0.00023174285888671875}"
5,1.62674E+12,6,2.35086E+11,0,0,103,0,345,34202965855,"{'cpus': 0.0615234375, 'memory': 0.00540924072265625}"
6,1.30721E+11,0,2.75445E+11,1,0,117,0,13138,10129440520,"{'cpus': 0.00566864013671875, 'memory': 0.0015621185302734375}"
7,2.37335E+12,3,1.93224E+11,2,0,103,0,393,447672988,"{'cpus': 0.022003173828125, 'memory': 0.0015010833740234375}"
8,1.97021E+12,0,2.36368E+11,0,0,0,0,19760,4236232523,"{'cpus': 0.0081024169921875, 'memory': 0.003612518310546875}"
9,2.2122E+12,6,2.96993E+11,0,0,103,0,90,20826141104,"{'cpus': 0.09716796875, 'memory': 0.00676727294921875}"
10,36255576255,6,4.54521E+11,0,1,116,0,1758,92336375,"{'cpus': 0.01629638671875, 'memory': 0.0048370361328125}"
11,7.23623E+11,1,3.46556E+11,1,0,103,0,8880,19641579566,"{'cpus': 0.04119873046875, 'memory': 0.0104217529296875}"
12,2.04389E+11,3,39516992187,2,0,0,0,3658,3.74219E+11,"{'cpus': 0.0025177001953125, 'memory': 0.00022125244140625}"
13,1.65967E+12,5,7.84489E+11,1,0,105,0,7776,13240065175,"{'cpus': 0.0004405975341796875, 'memory': 0.011016845703125}"
14,3.65677E+11,5,7.84635E+11,2,0,360,6.98303E+11,641,50769016368,"{'cpus': 0.0142059326171875, 'memory': 0.0013027191162109375}"
15,1.12936E+12,5,3.30587E+11,2,0,360,3.30587E+11,882,1.04791E+11,"{'cpus': 0.02288818359375, 'memory': 0.0013027191162109375}"
16,0,2,27762125863,3,0,450,27762125764,37,32343383224,"{'cpus': 0.0, 'memory': 0.00423431396484375}"
17,1.58416E+12,0,2.88497E+11,3,0,200,2.88497E+11,1629,87028529945,"{'cpus': 0.0081024169921875, 'memory': 0.003856658935546875}"
18,2.96067E+11,1,7.84246E+11,1,0,105,0,2198,5567221068,"{'cpus': 0.0089874267578125, 'memory': 0.016693115234375}"
19,1.16367E+11,2,7.81396E+11,2,0,360,6.98303E+11,247,263475209,"{'cpus': 0.013519287109375, 'memory': 0.0013027191162109375}"
20,2.22092E+12,2,39516997747,2,0,0,0,2249,20738137,"{'cpus': 0.001861572265625, 'memory': 0.00019931793212890625}"
21,1.89221E+12,3,3.59738E+11,1,0,200,0,7339,12064877,"{'cpus': 0.00566864013671875, 'memory': 0.00262451171875}"
22,1.04045E+11,5,2.61357E+11,2,0,360,2.21495E+11,2234,394193961,"{'cpus': 0.0056304931640625, 'memory': 0.0013027191162109375}"
23,1.64502E+12,3,2.60726E+11,2,0,360,2.21495E+11,1162,1.69719E+11,"{'cpus': 0.0111541748046875, 'memory': 0.0013027191162109375}"
24,1.10784E+12,5,3.48547E+11,2,0,360,2.71642E+11,773,13606987988,"{'cpus': 0.020172119140625, 'memory': 0.0013027191162109375}"
25,2.91751E+11,6,7.40923E+11,0,0,103,0,406,7.14666E+11,"{'cpus': 0.0810546875, 'memory': 0.00443267822265625}"
26,0,2,5424274343,3,1,200,0,833,43996204375,"{'cpus': 0.03240966796875, 'memory': 0.01690673828125}"
27,1.97289E+12,2,2.36368E+11,0,0,0,0,14858,27145690,"{'cpus': 0.0081024169921875, 'memory': 0.003612518310546875}"
28,49875509650,6,4.54521E+11,0,1,116,0,814,16458020816,"{'cpus': 0.01629638671875, 'memory': 0.003383636474609375}"
29,1.45698E+12,6,7.55687E+11,0,0,105,0,7590,21471662832,"{'cpus': 0.00662994384765625, 'memory': 0.00368499755859375}"
30,3.47043E+11,5,7.84956E+11,2,0,360,6.98303E+11,1549,19503490364,"{'cpus': 0.0139312744140625, 'memory': 0.0013027191162109375}"
31,46830230745,0,2.94545E+11,1,0,103,0,7770,2.17542E+11,"{'cpus': 0.0066070556640625, 'memory': 0.00521087646484375}"
32,0,2,36195154546,3,0,200,36195149360,4818,10511923865,"{'cpus': 0.0081024169921875, 'memory': 0.003612518310546875}"
33,1.97046E+12,0,2.36368E+11,0,0,0,0,43387,18827640781,"{'cpus': 0.0081024169921875, 'memory': 0.003612518310546875}"
34,2.52177E+12,6,3.27091E+11,3,1,200,0,31,1.57007E+11,"{'cpus': 0.0, 'memory': 0.0994873046875}"
35,0,0,2.1255E+11,1,0,117,0,3642,34254440201,"{'cpus': 0.00739288330078125, 'memory': 0.0106658935546875}"
36,0,2,7.42309E+11,0,0,103,0,932,5567043389,"{'cpus': 0.002025604248046875, 'memory': 0.001369476318359375}"
37,8.41608E+11,5,3.82098E+11,0,0,200,0,880,3.76665E+11,"{'cpus': 0.0014972686767578125, 'memory': 0.0008554458618164062}"
38,1.25127E+12,2,1.16647E+11,1,0,200,0,17,33179578311,"{'cpus': 0.00113677978515625, 'memory': 0.00650787353515625}"
39,1.38313E+12,5,3.14637E+11,2,0,360,2.61561E+11,1269,2.8716E+11,"{'cpus': 0.022308349609375, 'memory': 0.0013027191162109375}"
40,2.49109E+12,6,3.24695E+11,3,1,200,0,249,1.23152E+11,"{'cpus': 0.06591796875, 'memory': 0.009765625}"
41,4.09734E+11,3,3.79491E+11,1,0,103,0,3235,1.02984E+11,"{'cpus': 0.002288818359375, 'memory': 0.004364013671875}"
42,97005291483,0,2.21496E+11,2,0,360,2.21495E+11,1367,4702654259,"{'cpus': 0.0084381103515625, 'memory': 0.0013027191162109375}"
43,0,2,6776392008,3,0,200,5643440312,607,1.69665E+11,"{'cpus': 0.0, 'memory': 0.00597381591796875}"
44,2.02457E+12,3,1.28074E+11,2,0,25,0,246,1.74725E+11,"{'cpus': 0.002521514892578125, 'memory': 0.000331878662109375}"
45,1.76513E+12,0,3.20177E+11,2,0,200,0,3163,2458319344,"{'cpus': 0.00688934326171875, 'memory': 0.010894775390625}"
46,1.67573E+12,0,7.93077E+11,1,0,200,0,10445,83416752368,"{'cpus': 0.0004405975341796875, 'memory': 0.0094757080078125}"
47,0,0,2399970864,3,0,200,2399969941,3011,21392954124,"{'cpus': 0.003520965576171875, 'memory': 0.00409698486328125}"
48,65479712242,3,3.15268E+11,0,0,0,0,5662,17782220117,"{'cpus': 0.0081024169921875, 'memory': 0.00182342529296875}"
49,0,2,71429569,3,1,200,0,263,86269168,"{'cpus': 0.0653076171875, 'memory': 0.03125}"
50,1.50655E+12,6,3.58931E+11,0,0,103,0,2257,8901900,"{'cpus': 0.0018482208251953125, 'memory': 0.0012454986572265625}"
51,1.94133E+12,3,2.36368E+11,0,0,0,0,4449,3302786606,"{'cpus': 0.016204833984375, 'memory': 0.002605438232421875}"
52,1.82552E+12,6,1.56922E+11,3,1,200,0,305,265112831,"{'cpus': 0.17431640625, 'memory': 0.078125}"
53,1.99619E+12,0,2.36368E+11,0,0,0,0,16131,18828627042,"{'cpus': 0.0081024169921875, 'memory': 0.003612518310546875}"
54,1.64752E+12,2,2.85748E+11,0,0,0,0,18934,86252003,"{'cpus': 0.00566864013671875, 'memory': 0.00262451171875}"
55,0,2,1.84202E+11,2,0,105,0,557,23099328435,"{'cpus': 0.00022029876708984375, 'memory': 0.001331329345703125}"
56,2.45117E+12,6,2.96522E+11,0,0,103,0,287,132141062,"{'cpus': 0.048583984375, 'memory': 0.00388336181640625}"
57,1.72449E+12,5,7.57929E+11,0,0,103,0,3105,5.50824E+11,"{'cpus': 0.009368896484375, 'memory': 0.002552032470703125}"
